,index,1,0
68,1210,(CH5N2)PbI3-None-TiO2-FTO- {'specifier',9.84
69,5395,(Cs0.07(CH5N2)0.81(CH3NH3)0.12)Pb(Br0.38I2.62)-document-TiO2-FTO- {'specifier',18.0
70,4636,CH3NH3PbBr3-None-Au-ITO- {'specifier',4.312
71,5778,"CH3NH3PbCl3-None-PEDOT-PEDOT - 'poly(3,4-ethylenedioxythiophene) polystyrene sulfonate'",8.94
72,5124,CH3NH3PbI3-Ag-PC60BM-ITO- {'specifier',1.96
73,5731,CH3NH3PbI3-None-Ag-ITO- {'specifier',7.3
74,1741,CH3NH3PbI3-None-Control device-FTO- {'specifier',15.52
75,3417,CH3NH3PbI3-None-None-Au-None,9.3
76,1622,CH3NH3PbI3-None-None-FTO-None,8.63
77,2860,CH3NH3PbI3-None-None-ITO-None,9.7
78,7282,CH3NH3PbI3-None-None-None-None,9.47
79,2408,CH3NH3PbI3-None-None-gold-None,9.62
80,517,CH3NH3PbI3-None-None-silver-None,10.1
81,1930,"CH3NH3PbI3-None-PEDOT-PEDOT - 'poly(3,4-ethylenedioxythiophene) polystyrene sulfonate'",9.71
82,201,CH3NH3PbI3-None-SnO2-ITO- {'specifier',12.1
83,1742,CH3NH3PbI3-None-Spiro - OMeTAD-FTO- {'specifier',18.34
84,5814,"CH3NH3PbI3-None-Spiro-OMeTAD-spiro - OMeTAD- ""2,2',7,7'-Tetrakis-(N,N-di-4-methoxyphenylamino)-9,9'-spirobifluorene""",9.32
85,204,CH3NH3PbI3-None-ZnO-ITO- {'specifier',14.0
86,1339,CH3NH3PbI3-None-c-TiO2-FTO- {'specifier',6.8
87,7527,CH3NH3PbI3-None-platinum-FTO- {'specifier',7.39
88,4553,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.68 ± 0.09 ( 0.75 )- 'PEDOT ",3.6
89,4545,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.71 ± 0.09 ( 0.82 )- 'PEDOT ",2.9
90,4544,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.79 ± 0.07 ( 0.88 )- 'PEDOT ",4.0
91,4552,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.80 ± 0.03 ( 0.83 )- 'PEDOT ",6.1
92,4546,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.80 ± 0.06 ( 0.85 )- 'PEDOT ",3.8
93,4549,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.83 ± 0.05 ( 0.87 )- 'PEDOT ",7.8
94,4543,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.84 ± 0.05 ( 0.89 )- 'PEDOT ",5.9
95,4550,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.85 ± 0.02 ( 0.86 )- 'PEDOT ",8.1
